"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235","Multiple ContractDefinitions exist for one Asset","","Mon Apr 27 05:48:01 UTC 2026","passed","Mon Apr 27 05:48:02 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_multipleOffersForAsset"
"","58","5.4.3.7 Verifier should reject an expired credential","","Mon Apr 27 05:48:43 UTC 2026","passed","Mon Apr 27 05:48:43 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_07_presentationResponse_expiredCredential"
"","8152","transferFile_success()","","Mon Apr 27 05:48:20 UTC 2026","passed","Mon Apr 27 05:48:28 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","2050","transferFile_azureToS3(Vault)","","Mon Apr 27 05:47:53 UTC 2026","passed","Mon Apr 27 05:47:55 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3"
"","8103","azureBlobPush_withDestFolder()","","Mon Apr 27 05:47:24 UTC 2026","passed","Mon Apr 27 05:47:33 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withDestFolder"
"","149121","assertDspCompatibility()","","Mon Apr 27 05:46:49 UTC 2026","passed","Mon Apr 27 05:49:18 UTC 2026","","org.eclipse.tractusx.edc.tests.tck.dsp.EdcCompatibilityPostgresTest","org.eclipse.tractusx.edc.tests.tck.dsp.EdcCompatibilityPostgresTest","assertDspCompatibility"
"","38","Policy is not accepted due to missing context ""Contract reference""","","Mon Apr 27 05:47:05 UTC 2026","passed","Mon Apr 27 05:47:05 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","3045","Policy is accepted ""MembershipCredential""","","Mon Apr 27 05:46:58 UTC 2026","passed","Mon Apr 27 05:47:01 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","62","Policy is accepted ""Business Partner Number""","","Mon Apr 27 05:47:03 UTC 2026","passed","Mon Apr 27 05:47:03 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","10219","transferData_withAutomaticRefresh()","","Mon Apr 27 05:51:47 UTC 2026","passed","Mon Apr 27 05:51:57 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withAutomaticRefresh"
"","76","Policy is accepted ""DataExchangeGovernance use case""","","Mon Apr 27 05:47:01 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","7437","Contract policy is fulfilled ""MembershipCredential""","","Mon Apr 27 05:48:06 UTC 2026","passed","Mon Apr 27 05:48:13 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","12955","shouldTransferOneGbFile()","","Mon Apr 27 05:48:08 UTC 2026","passed","Mon Apr 27 05:48:21 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldTransferOneGbFile"
